["01", "17"]	5.620285956535426e+19
["01", "19"]	4.4548138889025393e+18
["02", "16"]	6.554760875990543e+19
["02", "18"]	6.230362795090481e+18
["03", "17"]	1.77021580942219e+20
["03", "19"]	3.8232746686781804e+18
["04", "16"]	2.2670632047051923e+19
["04", "18"]	2.449268234852297e+18
["05", "17"]	1.2484777365192848e+20
["05", "19"]	4.005277417445862e+18
["06", "16"]	3.049033485006488e+19
["06", "18"]	2.808523416305672e+18
["07", "17"]	6.4981463792717865e+19
["08", "16"]	5.908198737290173e+19
["08", "18"]	2.398950798112742e+18
["09", "15"]	7.046467945767373e+19
["09", "17"]	3.438888521827812e+19
["10", "15"]	7.416931809333608e+19
["10", "17"]	2.6736910424747164e+19
["11", "16"]	3.964431643834815e+19
["11", "18"]	5.397909048901684e+18
["12", "15"]	2.6764096183939674e+19
["12", "17"]	1.3737046580113574e+19
["01", "16"]	6.106607047719768e+19
["01", "18"]	1.1164572720748575e+19
["02", "17"]	5.5580090162627715e+19
["02", "19"]	3.9808452645114547e+18
["03", "16"]	4.585306412777953e+19
["03", "18"]	2.7280798911625533e+18
["04", "17"]	1.1135007462190778e+20
["04", "19"]	4.128024532009256e+18
["05", "16"]	4.704660952446666e+19
["05", "18"]	2.4981909136533673e+18
["06", "17"]	5.6787722309365514e+19
["06", "19"]	3.0362427767094016e+18
["07", "16"]	9.577823510583093e+19
["07", "18"]	2.2749347554397706e+18
["08", "15"]	4.805211845959831e+20
["08", "17"]	4.8273956518857196e+19
["09", "16"]	3.2627612247555584e+19
["09", "18"]	3.733481101982357e+18
["10", "16"]	3.244442633970866e+19
["10", "18"]	3.0704021430260516e+18
["11", "15"]	5.948474386250735e+19
["11", "17"]	2.964110327474042e+19
["12", "16"]	6.146658677538237e+19
["12", "18"]	5.944894163484675e+18
